M.S. Human Resource Management,,,,
MGMT 5000,C200,Managing Organizations and Leading People,3,1
BUS 5000,C201,Business Acumen,3,1
HRM 5010,C202,Managing Human Capital,3,1
MHRM 5000,D432,HR Compliance and Employee Relations,3,2
MGMT 5010,C204,Management Communication,3,2
MGMT 6010,C207,Data-Driven Decision Making,3,2
MHRM 6000,D433,Talent Acquisition and Development,3,3
MHRM 6020,D435,HR Technology and People Analytics,3,3
MHRM 6010,D434,Future Focused Total Rewards,3,3
MHRM 6030,D436,Inclusive Workplace Culture Capstone,3,4
