B.S. Science Education (Secondary Earth Science),,,,
ENGL 1711,D269,Composition: Writing with a Strategy,3,1
EDUC 2212,D090,The School as a Community of Care,3,1
COMM 3015,D268,Introduction to Communication: Connecting with Others,3,1
SCIE 1020,C165,Integrated Physical Sciences,3,1
BIO 1010,C190,Introduction to Biology,3,2
MATH 1101,C955,Applied Probability and Statistics,3,2
ENGL 1712,D270,Composition: Successful Self-Expression,3,2
HIST 1017,D267,US History: Stories of American Democracy,3,2
EDUC 2219,D097,Educational Foundations,2,3
SCIE 2025,C371,Concepts in Science,2,3
EDUC 2216,D094,Educational Psychology and Development of Children and Adolescents,4,3
EDUC 2218,D096,Fundamentals of Diverse Learners,4,3
MATH 1015,C278,College Algebra,4,4
SCIE 1001,C683,Natural Science Lab,2,4
CHEM 2111,C832,Chemistry with Lab,4,4
GEOS 2102,C890,Ecology and Environmental Science,3,4
EDUC 2217,D095,Managing Engaging Learning Environments,3,5
HUMN 1020,D198,Global Arts and Humanities,3,5
EDUC 2213,D091,"Introduction to Curriculum, Instruction, and Assessment",3,5
PHYS 2100,RNT1,General Physics,5,5
EDUC 2215,D093,Assessing Impact on Student Learning,3,6
GEOS 2101,C649,Geology I: Physical,4,6
EDUC 2214,D092,Educational Technology for Teaching and Learning,3,6
GEOS 2103,C892,Geology II: Earth Systems,4,6
EDUC 3511,C263,The Ocean Systems,4,7
EDUC 4409,C388,"Science, Technology, and Society",5,7
GEOS 2104,C894,Astronomy,3,7
EDUC 4115,C942,Science Methods—Secondary Earth Science,4,8
GEOS 4405,C898,Earth Science: Content Knowledge,2,8
EDUC 3276,C730,Secondary Reading Instruction and Interventions,3,8
EDUC 3275,C728,Secondary Disciplinary Literacy,3,8
EDUC 3412,C937,Preclinical Experiences in Science,3,9
EDUC 4773,D533,Student Teaching I in Secondary Education,6,9
EDUC 4764,D150,Teacher Performance Assessment in Science,3,10
EDUC 4765,D151,Professional Portfolio,2,10
EDUC 4990,C341,Cohort Seminar,3,10
EDUC 4774,D535,Student Teaching II in Secondary Education,6,10
