M.A. Mathematics Education (Middle Grades),,,,
MATH 5015,C912,College Algebra,3,1
MATH 5710,QTT2,Finite Mathematics,2,1
MATH 6321,C647,Trigonometry and Precalculus,2,1
EDUC 6320,OPT2,Mathematics Learning and Teaching,2,1
MATH 5030,C992,College Geometry,2,2
EDUC 5043,C966,Teaching in the Middle School,2,2
MATH 5510,TOC2,Probability and Statistics I,2,2
MATH 6711,C613,Middle School Mathematics: Content Knowledge,1,2
MATH 5410,QJT2,Calculus I,2,2
EDUC 5101,C880,Algebra for Secondary Mathematics Teaching,2,3
EDUC 6310,OOT2,Mathematics History and Technology,2,3
EDUC 5111,C224,Research Foundations,2,3
EDUC 5112,C225,Research Questions and Literature Review,2,3
EDUC 6753,C887,"MA, Mathematics Education (5-9) Teacher Performance Assessment",6,4
