B.S. Finance,,,,
MGMT 3000,C715,Organizational Behavior,3,1
BUS 2010,D072,Fundamentals for Success in Business,3,1
FINC 2000,D363,Personal Finance,3,1
PHIL 1020,D265,Critical Thinking: Reason and Evidence,3,1
BUS 2090,D082,Emotional and Cultural Intelligence,3,2
MATH 1101,C955,Applied Probability and Statistics,3,2
ENGL 1711,D269,Composition: Writing with a Strategy,3,2
BUS 3000,C717,Business Ethics,3,2
HUMN 1020,D198,Global Arts and Humanities,3,3
ACCT 2020,D196,Principles of Financial and Managerial Accounting,3,3
MATH 1200,C957,Applied Algebra,3,3
MGMT 2700,D253,Values-Based Leadership,3,3
HRM 2110,D351,Functions of Human Resource Management,3,4
BUS 2250,D388,Fundamentals of Spreadsheets and Data Presentations,3,4
BUS 2080,D081,Innovative and Strategic Thinking,3,4
BUS 3100,C723,Quantitative Analysis For Business,3,4
BUS 2060,D078,Business Environment Applications I: Business Structures and Legal Environment,2,5
BUS 2040,D076,Finance Skills for Managers,3,5
BUS 2301,C483,Principles of Management,4,5
BUS 2030,D075,Information Technology Management Essentials,3,5
BUS 2061,D079,"Business Environment Applications II: Process, Logistics, and Operations",2,6
FINC 3103,D366,Financial Statement Analysis,3,6
ACCT 3350,D216,Business Law for Accountants,3,6
HLTH 1010,C458,"Health, Fitness, and Wellness",4,6
BUS 2050,D077,"Concepts in Marketing, Sales, and Customer Contact",3,7
ECON 2000,D089,Principles of Economics,3,7
FINC 3100,D362,Corporate Finance,3,7
HRM 3110,D352,Employment and Labor Law,3,7
MGMT 4100,C720,Operations and Supply Chain Management,3,8
FINC 3101,D364,Financial Management I,3,8
MGMT 3400,C722,Project Management,3,8
SCIE 1020,C165,Integrated Physical Sciences,3,8
SOCG 1010,C273,Introduction to Sociology,3,9
FINC 3102,D365,Financial Management II,3,9
FINC 3105,D368,Enterprise Risk Management,3,9
COMM 3015,D268,Introduction to Communication: Connecting with Others,3,9
HIST 1017,D267,US History: Stories of American Democracy,3,10
FINC 3104,D367,Innovation in Finance,3,10
BUS 2070,D080,Managing in a Global Business Environment,3,10
FINC 3106,D369,Finance Capstone,3,10
