M.Ed. Education Technology and Instructional Design (K-12 Learner),,,,
LXD 5071,D294,Learning Technology,3,1
LXD 5070,D293,Assessment and Learning Analytics,3,1
LXD 5068,D291,Learning Experience Design Foundations I,3,1
LXD 5069,D292,Learning Experience Design Foundations II,3,2
LXD 5072,D295,Designing and Facilitating E-Learning Experiences for K–12 Students,3,2
LXD 5073,D296,Quality and Impact of K–12 E-Learning Solutions,3,2
LXD 6052,D299,Learning Experience Design Lab,3,3
LXD 6053,D300,Identifying Learner Needs and a Research Problem,3,3
LXD 6054,D301,Developing an E-Learning Solution and Research Methodology,3,3
LXD 6055,D302,Implementing and Evaluating E-Learning Solutions,5,4
