M.A. Science Education (Middle Grades),,,,
SCIE 5408,C670,Concepts in Science,1,1
SCIE 5020,C908,Integrated Physical Sciences,2,1
BIO 5111,C907,Introduction to Biology,2,1
CHEM 5107,C833,Chemistry with Lab,3,1
BIO 5105,C653,Heredity and Genetics,2,2
EDUC 5409,C389,"Science, Technology, and Society",2,2
PHYS 5100,RNT2,General Physics,3,2
GEOS 5104,C895,Astronomy,2,2
GEOS 5102,C891,Ecology and Environmental Science,2,3
GEOS 5513,C926,Earth: Inside and Out,3,3
SCIE 6405,C616,Middle School Science: Content Knowledge,1,3
EDUC 5043,C966,Teaching in the Middle School,2,3
EDUC 5048,C975,Science Methods—Middle Grades General Science,3,4
EDUC 6264,C871,"MA, Science Education Teacher Performance Assessment",6,4
