M.A. Mathematics Education (K-6),,,,
MATH 5210,AOA2,Number Sense and Functions,4,1
MATH 5220,AUA2,"Graphing, Proportional Reasoning and Equations/Inequalities",4,1
MATH 5230,AVA2,Geometry and Statistics,4,2
EDUC 6836,MFT2,Mathematics (K-6) Portfolio Oral Defense,2,2
MATH 5710,QTT2,Finite Mathematics,2,2
EDUC 5111,C224,Research Foundations,2,3
EDUC 5112,C225,Research Questions and Literature Review,2,3
EDUC 5113,C226,Research Design and Analysis,2,3
EDUC 5114,C227,Research Proposals,2,3
EDUC 6029,C635,"MA, Mathematics Education (K-6) Capstone",6,4
