B.S. Computer Science,,,,
ITEC 2002,D322,Introduction to IT,4,1
MATH 1101,C955,Applied Probability and Statistics,3,1
ITEC 2112,D315,Network and Security - Foundations,3,1
ITSW 2113,D278,Scripting and Programming - Foundations,3,1
ITEC 2116,D426,Data Management - Foundations,3,2
ITSW 2120,D276,Web Development Foundations,3,2
MATH 2100,C958,Calculus I,4,2
ITSW 2130,C867,Scripting and Programming - Applications,4,2
GEOG 1312,D199,Introduction to Physical and Human Geography,3,3
HLTH 1010,C458,"Health, Fitness, and Wellness",4,3
MATH 2800,C959,Discrete Mathematics I,4,3
ITSW 2110,D197,Version Control,1,3
MATH 2810,C960,Discrete Mathematics II,4,4
COMM 3015,D268,Introduction to Communication: Connecting with Others,3,4
ICSC 3120,C952,Computer Architecture,3,4
ENGL 1712,D270,Composition: Successful Self-Expression,3,4
ITEC 2117,D427,Data Management - Applications,4,5
POLS 1030,C963,American Politics and the US Constitution,3,5
HUMN 1020,D198,Global Arts and Humanities,3,5
ITSW 3172,D286,Java Fundamentals,3,5
ITSW 3173,D287,Java Frameworks,3,6
ICSC 2100,C949,Data Structures and Algorithms I,4,6
ITSW 3175,D288,Back-End Programming,3,6
ITEC 3004,D281,Linux Foundations,3,6
ITSW 3024,D387,Advanced Java,3,7
HUMN 1101,D333,Ethics in Technology,3,7
ITAS 2110,D430,Fundamentals of Information Security,3,7
ITEC 2211,C191,Operating Systems for Programmers,3,7
ICSC 3100,C950,Data Structures and Algorithms II,4,8
SCIE 1001,C683,Natural Science Lab,2,8
ITEC 2113,D336,Business of IT – Applications,4,8
ITSW 2226,D284,Software Engineering,4,8
DTMG 3179,D326,Advanced Data Management,3,9
ITBU 2201,D370,IT Leadership Foundations,3,9
COMM 1115,D339,Technical Communication,3,9
ICSC 3110,C951,Introduction to Artificial Intelligence,3,9
ITSW 3151,D480,Software Design and Quality Assurance,3,10
ICSC 3130,C964,Computer Science Capstone,4,10
