M.A. Science Education (Secondary Biological Science),,,,
SCIE 5408,C670,Concepts in Science,1,1
BIO 5111,C907,Introduction to Biology,2,1
BIO 5120,C870,Human Anatomy and Physiology,3,1
CHEM 5107,C833,Chemistry with Lab,3,1
BIO 5106,C889,Molecular and Cellular Biology,3,2
BIO 5105,C653,Heredity and Genetics,2,2
EDUC 5409,C389,"Science, Technology, and Society",2,2
BIO 5101,C655,Zoology,2,2
GEOS 5102,C891,Ecology and Environmental Science,2,3
BIO 5247,C737,Evolution,3,3
BIO 6405,C614,Biology: Content Knowledge,1,3
EDUC 5044,C976,Science Methods—Secondary Biology,3,3
EDUC 6264,C871,"MA, Science Education Teacher Performance Assessment",6,4
