M.A. Science Education (Secondary Physics),,,,
SCIE 5408,C670,Concepts in Science,1,1
SCIE 5020,C908,Integrated Physical Sciences,2,1
MATH 5350,RXT2,Precalculus and Calculus,2,1
PHYS 5101,C659,Conceptual Physics,3,1
PHYS 5150,BYT2,Physics: Mechanics,2,2
CHEM 5107,C833,Chemistry with Lab,3,2
PHYS 5310,BZT2,Physics: Waves and Optics,2,2
PHYS 5320,DPT2,Physics: Electricity and Magnetism,2,2
EDUC 5409,C389,"Science, Technology, and Society",2,3
PHYS 5248,C739,"Space, Time and Motion",3,3
PHYS 6405,C615,Physics: Content Knowledge,1,3
EDUC 5052,C979,Science Methods—Secondary Physics,3,3
EDUC 6264,C871,"MA, Science Education Teacher Performance Assessment",6,4
