B.S. Health and Human Services,,,,
HLTH 2050,D389,Learning Strategies in Higher Education,4,1
ENGL 1711,D269,Composition: Writing with a Strategy,3,1
COMM 3015,D268,Introduction to Communication: Connecting with Others,3,1
HLTH 1010,C458,"Health, Fitness, and Wellness",4,1
PHIL 1020,D265,Critical Thinking: Reason and Evidence,3,2
HLTH 2130,D390,Introduction to Health and Human Services,3,2
HLTH 2012,D391,Healthcare Ecosystems,3,2
BIO 1010,C190,Introduction to Biology,3,2
PSYC 1020,D202,Human Growth and Development,3,3
PHIL 1031,D458,Introduction to Systems Thinking for Health Professionals,3,3
HLTH 2140,D392,Interdisciplinary Team Dynamics,3,3
PSYC 1010,C180,Introduction to Psychology,3,3
MATH 1100,C784,Applied Healthcare Statistics,4,4
HLTH 2160,D393,History of Healthcare in America,3,4
HLTH 2220,D394,Care for Individuals and Families,3,4
BIO 1100,D203,Fundamentals of Anatomy and Physiology,3,4
HIM 2150,C804,Medical Terminology,3,5
HLTH 2230,D395,Cultural Awareness,3,5
HLTH 2320,D396,Evidence-Based Practice for Health and Human Services,3,5
HLTH 2330,D397,Health Equity and Social Determinants of Health,3,5
HLTH 2422,D398,Introduction to Pharmacology,3,6
HLTH 2500,D399,Introduction to Gerontology,3,6
HLTH 3300,D400,End-of-Life Care,3,6
HIM 2507,C805,Pathophysiology,3,6
HLTH 3310,D401,Introduction to Epidemiology,3,7
HLTH 3320,D402,Community and Public Health,4,7
HLTH 3330,D403,Understanding Substance Abuse and Addiction,3,7
HLTH 3340,D404,Healthcare Values and Ethics,3,7
HLTH 2110,D254,Introduction to Medical Coding,3,8
HLTH 4416,D405,Financial Resource Management and Healthcare Reimbursement,4,8
HLTH 3350,D406,Health Literacy for the Client and Family,3,8
HLTH 3420,D407,Models of Care and Healthcare Trends,3,8
HLTH 4430,D408,Community Relations and Leadership,3,9
HLTH 4920,D409,Health and Human Services Professional Field Experience,3,9
HLTH 4921,D410,Health & Human Services Professional Capstone,3,9
