B.S. Mathematics Education (Secondary),,,,
ENGL 1711,D269,Composition: Writing with a Strategy,3,1
EDUC 2212,D090,The School as a Community of Care,3,1
COMM 3015,D268,Introduction to Communication: Connecting with Others,3,1
SCIE 1020,C165,Integrated Physical Sciences,3,1
MATH 1015,C278,College Algebra,4,2
ENGL 1712,D270,Composition: Successful Self-Expression,3,2
HIST 1017,D267,US History: Stories of American Democracy,3,2
EDUC 2219,D097,Educational Foundations,2,2
MATH 3321,C646,Trigonometry and Precalculus,4,3
EDUC 2216,D094,Educational Psychology and Development of Children and Adolescents,4,3
EDUC 2218,D096,Fundamentals of Diverse Learners,4,3
SCIE 1001,C683,Natural Science Lab,2,4
MATH 2505,C280,Probability and Statistics I,4,4
EDUC 2217,D095,Managing Engaging Learning Environments,3,4
BIO 1010,C190,Introduction to Biology,3,4
MATH 2000,C362,Calculus I,4,5
HUMN 1020,D198,Global Arts and Humanities,3,5
MATH 2415,C283,Calculus II,4,5
EDUC 2213,D091,"Introduction to Curriculum, Instruction, and Assessment",3,5
EDUC 2215,D093,Assessing Impact on Student Learning,3,6
MATH 2520,TQC1,Probability and Statistics II,3,6
EDUC 2214,D092,Educational Technology for Teaching and Learning,3,6
EDUC 3101,C879,Algebra for Secondary Mathematics Teaching,3,6
EDUC 3103,C883,Statistics and Probability for Secondary Mathematics Teaching,3,7
MATH 3610,C972,College Geometry,4,7
EDUC 3102,C881,Geometry for Secondary Mathematics Teaching,3,7
MATH 4315,C897,Mathematics: Content Knowledge,2,7
MATH 3311,C656,Calculus III,3,8
EDUC 3276,C730,Secondary Reading Instruction and Interventions,3,8
EDUC 3275,C728,Secondary Disciplinary Literacy,3,8
MATH 3100,C877,Mathematical Modeling and Applications,3,8
MATH 3310,RKT1,Linear Algebra,3,9
EDUC 4305,C285,Mathematics History and Technology,4,9
MATH 3320,QDT1,Abstract Algebra,3,9
MATH 3104,C885,Advanced Calculus,3,9
EDUC 4315,C284,Mathematics Learning and Teaching,4,10
EDUC 3414,C932,Preclinical Experiences in Mathematics,3,10
EDUC 4773,D533,Student Teaching I in Secondary Education,6,10
EDUC 4762,D148,Teacher Performance Assessment in Mathematics Education,3,11
EDUC 4765,D151,Professional Portfolio,2,11
EDUC 4990,C341,Cohort Seminar,3,11
EDUC 4774,D535,Student Teaching II in Secondary Education,6,11
