B.S. Network Engineering and Security (Cisco Track),,,,
ITEC 2002,D322,Introduction to IT,4,1
ITEC 2023,D317,IT Applications,4,1
ITEC 2013,D316,IT Foundations,4,1
HUMN 1101,D333,Ethics in Technology,3,2
ITEC 2112,D315,Network and Security - Foundations,3,2
ITEC 3004,D281,Linux Foundations,3,2
MATH 1101,C955,Applied Probability and Statistics,3,2
BUS 2141,D423,Spreadsheets,1,3
ENGL 1711,D269,Composition: Writing with a Strategy,3,3
ITEC 2113,D336,Business of IT – Applications,4,3
ITSW 2120,D276,Web Development Foundations,3,3
GEOG 1312,D199,Introduction to Physical and Human Geography,3,3
MATH 1200,C957,Applied Algebra,3,4
MATH 2820,D420,Discrete Math: Logic,1,4
ITEC 3755,D419,Implementing and Administering Networking Solutions,6,4
PHIL 1020,D265,Critical Thinking: Reason and Evidence,3,4
MATH 2830,D421,Discrete Math: Functions and Relations,1,5
ITEC 3101,D412,Network Analytics and Troubleshooting,3,5
ITEC 3301,D414,Cyber Operations Fundamentals,6,5
MATH 2840,D422,Discrete Math: Algorithms and Cryptography,1,5
ITAS 2141,D334,Introduction to Cryptography,4,5
ITCL 3202,D320,Managing Cloud Security,4,6
SCIE 1020,C165,Integrated Physical Sciences,3,6
ITEC 3201,D413,Telecomm and Wireless Communications,3,6
ITEC 3601,D318,Cloud Applications,3,6
ITSW 2113,D278,Scripting and Programming - Foundations,3,7
ITSW 3126,D335,Introduction to Programming in Python,3,7
ITEC 3401,D416,DevNet Fundamentals,6,7
ITEC 2116,D426,Data Management - Foundations,3,8
COMM 1115,D339,Technical Communication,3,8
PHIL 1030,D372,Introduction to Systems Thinking,3,8
ITBU 2201,D370,IT Leadership Foundations,3,8
ITEC 2109,D324,Business of IT - Project Management,4,9
ITEC 4905,D418,BSNES Capstone Project,4,9
