B.S. Software Engineering (C# Track),,,,
ITEC 2002,D322,Introduction to IT,4,1
POLS 1030,C963,American Politics and the US Constitution,3,1
GEOG 1312,D199,Introduction to Physical and Human Geography,3,1
SCIE 1001,C683,Natural Science Lab,2,1
ITSW 2120,D276,Web Development Foundations,3,2
COMM 1115,D339,Technical Communication,3,2
HLTH 1010,C458,"Health, Fitness, and Wellness",4,2
ITEC 2112,D315,Network and Security - Foundations,3,2
ITEC 2116,D426,Data Management - Foundations,3,3
ENGL 1712,D270,Composition: Successful Self-Expression,3,3
ITEC 2022,D386,Hardware and Operating Systems Essentials,3,3
ITEC 2117,D427,Data Management - Applications,4,3
PHIL 1030,D372,Introduction to Systems Thinking,3,4
ITSW 2110,D197,Version Control,1,4
ITEC 2119,D282,Cloud Foundations,3,4
ITSW 2113,D278,Scripting and Programming - Foundations,3,4
MATH 1101,C955,Applied Probability and Statistics,3,4
ITEC 2109,D324,Business of IT - Project Management,4,5
MATH 1200,C957,Applied Algebra,3,5
ITSW 3126,D335,Introduction to Programming in Python,3,5
HUMN 1101,D333,Ethics in Technology,3,5
ITEC 2113,D336,Business of IT – Applications,4,6
ICSC 2100,C949,Data Structures and Algorithms I,4,6
ITBU 2201,D370,IT Leadership Foundations,3,6
ITSW 2131,D277,Front-End Web Development,3,6
ITSW 3151,D280,JavaScript Programming,3,7
ITSW 2226,D284,Software Engineering,4,7
ITSW 3215,C968,Software I – C#,6,7
ITSW 3110,D279,User Interface Design,3,8
ITSW 3111,D479,User Experience Design,3,8
ITSW 3225,C969,Software II – Advanced C#,6,8
ITSW 3151,D480,Software Design and Quality Assurance,3,9
ITEC 2034,D385,Software Security and Testing,3,9
DTMG 3179,D326,Advanced Data Management,3,9
ITSW 3315,C971,Mobile Application Development Using C#,3,9
ITEC 4906,D424,Software Engineering Capstone,4,10
