B.S. Cybersecurity and Information Assurance,,,,
PHIL 1020,D265,Critical Thinking: Reason and Evidence,3,1
ITEC 2002,D322,Introduction to IT,4,1
ENGL 1712,D270,Composition: Successful Self-Expression,3,1
ITAS 2110,D430,Fundamentals of Information Security,3,1
ITEC 2023,D317,IT Applications,4,2
ITEC 2013,D316,IT Foundations,4,2
ITAS 3010,C841,Legal Issues in Information Security,4,2
MATH 1101,C955,Applied Probability and Statistics,3,3
PHIL 1030,D372,Introduction to Systems Thinking,3,3
MATH 1200,C957,Applied Algebra,3,3
ITEC 2112,D315,Network and Security - Foundations,3,3
HLTH 1010,C458,"Health, Fitness, and Wellness",4,4
ITEC 3602,D325,Networks,4,4
ITAS 3040,C844,Emerging Technologies in Cybersecurity,4,4
ITEC 2112,D329,Network and Security - Applications,4,5
ITAS 2140,D431,Digital Forensics in Cybersecurity,4,5
ITEC 2113,D336,Business of IT – Applications,4,5
ITEC 2116,D426,Data Management - Foundations,3,6
ITEC 2117,D427,Data Management - Applications,4,6
SCIE 1001,C683,Natural Science Lab,2,6
ITEC 3004,D281,Linux Foundations,3,6
ITAS 3050,C845,Information Systems Security,4,7
ITAS 2141,D334,Introduction to Cryptography,4,7
ITEC 2109,D324,Business of IT - Project Management,4,7
ITSW 2113,D278,Scripting and Programming - Foundations,3,8
ITSW 3126,D335,Introduction to Programming in Python,3,8
POLS 1030,C963,American Politics and the US Constitution,3,8
HUMN 1101,D333,Ethics in Technology,3,8
ITAS 3030,C843,Managing Information Security,6,9
ITAS 3021,D340,Cyber Defense and Countermeasures,4,9
COMM 3015,D268,Introduction to Communication: Connecting with Others,3,9
ITCL 3202,D320,Managing Cloud Security,4,10
ITAS 3080,D332,Penetration Testing and Vulnerability Analysis,4,10
ITEC 4903,C769,IT Capstone Written Project,4,10
