B.S. Healthcare Administration,,,,
MGMT 3000,C715,Organizational Behavior,3,1
BUS 2010,D072,Fundamentals for Success in Business,3,1
HCM 3310,C430,Healthcare Quality Improvement and Risk Management,3,1
PHIL 3010,C168,Critical Thinking and Logic,3,1
BUS 2301,C483,Principles of Management,4,2
ENGL 1010,C455,English Composition I,3,2
HCM 2110,C425,"Healthcare Delivery Systems, Regulation, and Compliance",3,2
BUS 2060,D078,Business Environment Applications I: Business Structures and Legal Environment,2,2
MGMT 4100,C720,Operations and Supply Chain Management,3,3
ENGL 1020,C456,English Composition II,3,3
HCM 2210,C426,Healthcare Values and Ethics,3,3
BUS 2090,D082,Emotional and Cultural Intelligence,3,3
COMM 1011,C464,Introduction to Communication,3,4
ACCT 2020,D196,Principles of Financial and Managerial Accounting,3,4
HCM 2310,C427,Technology Applications in Healthcare,3,4
BUS 2080,D081,Innovative and Strategic Thinking,3,4
BUS 2140,D100,Introduction to Spreadsheets,1,5
HIST 1010,C121,Survey of United States History,3,5
BUS 2040,D076,Finance Skills for Managers,3,5
HCM 3110,C428,Financial Resource Management in Healthcare,3,5
MGMT 2700,D253,Values-Based Leadership,3,5
BUS 2600,C716,Business Communication,3,6
MATH 1101,C955,Applied Probability and Statistics,3,6
ECON 2000,D089,Principles of Economics,3,6
HCM 3210,C429,Healthcare Operations Management,3,6
HUMN 1010,C100,Introduction to Humanities,3,7
BUS 2050,D077,"Concepts in Marketing, Sales, and Customer Contact",3,7
MATH 1200,C957,Applied Algebra,3,7
HCM 3410,C431,Healthcare Research and Statistics,3,7
BUS 2070,D080,Managing in a Global Business Environment,3,8
SOCG 1010,C273,Introduction to Sociology,3,8
SCIE 1020,C165,Integrated Physical Sciences,3,8
HRM 3600,C236,Compensation and Benefits,3,8
HRM 2100,C232,Introduction to Human Resource Management,3,9
BUS 2111,D361,Business Simulation,4,9
BUS 3100,C723,Quantitative Analysis For Business,3,9
MGMT 3400,C722,Project Management,3,9
HCM 3510,C432,Healthcare Management and Strategy,3,10
MGMT 4400,C721,Change Management,3,10
HCM 2910,C439,Healthcare Management Capstone,4,10
